timestamp,viewers
1782102728,46
1782102825,49
1782108895,38
1782117093,29
1782124234,48
1782131836,56
1782139038,76
1782144989,90
1782150944,107
1782155678,97
1782159533,110
1782163287,105
1782166239,105
1782168784,104
1782170940,79
1782172622,90
1782177088,78
1782179984,64
1782184845,56
1782190039,42
1782195458,32
1782200330,25
1782204417,23
1782209298,34
1782213739,53
1782217421,62
1782221182,62
1782224543,77
1782228621,67
1782232000,79
1782235202,82
1782238076,72
1782240995,70
1782243814,70
1782246683,83
1782249204,82
1782251514,93
1782253364,82
1782255115,83
1782256869,74
1782258266,66
1782259822,76
1782263675,81
1782266667,68
1782271336,53
1782276678,41
1782281853,27
1782286641,26
1782290643,21
1782295173,27
1782299438,52
1782302869,59
1782306261,61
1782309263,66
1782313149,68
1782316415,79
1782319330,69
1782322075,80
1782324789,81
1782327458,71
1782329909,79
1782332444,65
1782334836,63
1782337146,61
1782339020,61
1782340981,74
1782342809,68
1782344674,71
1782346584,73
1782350494,92
1782353670,58
1782358335,66
1782363587,41
1782368966,28
1782373938,27
1782377995,22
1782382317,30
1782386034,45
1782389238,62
1782392637,84
1782395517,82
1782399219,81
1782402717,91
1782405684,94
1782408525,125
1782411677,95
1782414592,97
1782417346,106
1782420384,94
1782422510,95
1782424751,91
1782427148,87
1782429019,64
1782431219,81
1782433126,97
1782437094,97
1782440541,79
